edad,educ,wage
23,2,2980.998321860032
37,4,3331.473485342748
56,12,2086.0071256604238
71,1,2040.9091771113667
61,9,2632.5386318168794
39,12,2814.20608049169
28,7,2812.111944976534
40,14,2155.2309962323075
40,9,2783.0144659092925
23,0,1858.4467781312183
31,2,1834.4614295464191
64,3,2705.0108200171867
51,1,2755.0190173736974
45,1,2638.1473400750892
50,5,3094.490018449285
49,12,4082.0946183150127
32,6,2239.0161806160636
67,13,2486.7556295015306
23,8,3683.423875553146
55,11,1946.9255820361177
62,2,2745.742504797674
44,10,2855.683034117761
66,13,3050.616472679227
55,8,1822.158040034037
57,7,2649.0424378463103
32,11,2563.312157304866
66,0,2824.56987249727
30,7,2122.3986024223786
35,1,1759.0834202494952
30,8,1838.8715956472697
76,0,2895.3168843466933
33,4,2655.240652356437
74,13,2579.341733538437
33,6,2925.3346101666516
53,0,2140.584651979587
33,4,2674.3992993460265
29,6,1832.0164364230277
18,3,1969.4367844857527
45,12,2713.984111800584
79,12,2203.533057847011
69,9,2570.533622994977
31,5,1768.6055777859597
37,3,3038.773869298698
70,8,3778.7023271277044
39,1,2317.277751741341
50,2,836.405267944423
49,8,2634.796592823954
21,4,2662.0564849143007
45,4,2356.306805886089
76,11,2417.520250086065
41,9,1247.835696554992
59,12,2241.3974670912266
78,11,1483.7051022778965
30,1,998.0563325583498
71,3,1787.329350017175
44,4,2607.3610608715403
45,12,2768.3975484195075
59,3,2775.0853754400446
24,9,1843.3752452065469
68,3,2559.1100209421015
74,11,2542.4259194692227
66,2,2511.5120588120726
51,2,1771.091262078031
77,6,2287.3205970263443
64,4,1336.7741094308572
39,8,2051.580327763689
65,6,2760.598528125235
48,4,2819.349989837594
52,12,2945.2253250883373
70,6,1887.601224735018
36,1,2171.563971102073
54,3,2439.698916104011
57,3,2784.8971398130125
61,11,3301.911427426841
37,7,1381.505820176118
18,2,2872.124917727118
40,12,2500.71769481941
62,4,2067.0394575307605
56,5,1832.6585510209618
73,6,3187.035927629727
53,9,2272.1939502851283
71,8,3066.6291279689385
20,13,2059.1282228531813
41,6,3298.9046690619616
40,14,3178.429789813799
53,13,2649.9135125396933
73,3,2287.7366073687026
18,5,2206.8320948535197
75,2,1604.2220595439767
76,13,1626.3111675907185
70,5,1304.20548631504
69,12,2422.629475473617
34,12,3113.081514057614
51,13,2740.574428466023
18,12,2768.9670783759316
46,5,1966.6232613546365
32,6,2352.6963571057986
33,9,2146.995862863739
28,5,2547.008504881315
78,13,2561.282252223042
75,11,2539.286747480419
56,3,3035.450269013535
49,8,1854.290057178471
63,3,2011.8822627854627
77,12,2361.754993647842
78,0,2253.582165759755
39,8,3094.871336213264
40,8,2302.950943545329
23,9,2126.9683556087934
22,7,2906.823765918471
68,5,1675.7617363835059
69,14,2979.0548438895
68,1,3086.56259470068
47,8,2903.73132044021
63,7,2248.4369410958707
67,14,2149.0345290022356
76,10,2678.820184634592
50,12,1896.9421225570054
32,6,2281.877686641224
60,13,2156.057909264258
27,0,2239.5602049658614
73,10,2864.730438898464
62,5,1411.835001531774
58,10,2061.5717670918243
77,1,3524.0738022673568
28,2,2464.7622819841026
50,14,2801.4366267620608
32,1,2681.4730745321094
58,2,2675.4013621182985
29,7,2244.4728034390064
25,11,2253.1903584483475
73,2,2668.8116043434343
48,4,1766.054887103125
20,2,3139.7642869515566
70,4,3082.9079970222756
42,11,2692.267074268459
51,0,2318.9136969292344
79,4,2187.6998709459417
79,13,2581.2721425250625
65,2,1786.8132577776491
51,10,2109.8064049020873
75,11,2654.8951244072205
47,2,3375.0156163141974
63,2,1817.256947511297
56,10,2004.7000363574512
53,7,3672.879609431578
23,2,2516.352363218649
73,9,1718.5219859055708
18,10,2108.81357108272
29,14,3254.567297805508
49,9,2886.6239641706916
48,12,2756.7527191352856
49,14,2654.892254534418
63,14,2852.8331886769024
33,4,3052.0194813573044
75,6,2173.0714596994962
68,1,2362.919172838319
73,4,2876.0236307629043
66,11,2903.1418537931927
41,1,2913.20172453572
30,4,2821.455737320267
61,4,1408.9627829240717
28,0,1822.6806619186766
34,11,2663.8550362259684
20,13,1755.798995048293
73,12,2471.4292343129036
39,12,2429.7695742859746
46,9,2444.657625452535
70,13,1746.8724001430173
40,1,1036.9589232993305
64,4,2696.406040438442
